id	slug	title	worker	template	angle
001	local-rag-notebook-search	How I Replaced a Notebook Search Script with a Local RAG Index	01	build-log	turn messy markdown notes into a searchable local index
002	voice-notes-to-outline	The Workflow I Use to Turn Voice Notes into an Article Outline	01	how-to-guide	brain dump, transcribe, group, outline, revise
003	coding-agent-task-backlog	Specs First: Turning a Vague App Idea into a Task Backlog	01	how-to-guide	make coding-agent instructions reviewable
004	failure-log-as-context	Why I Keep a Failure Log Next to My Project Context	01	analysis-essay	recurring mistakes become reusable instructions
005	mini-evaluation-set	How I Build a Mini Evaluation Set Before Touching a Prompt	01	how-to-guide	start with twenty real cases and a pass rule
006	static-site-agent-review	The Review Checklist I Use Before Publishing an Agent-Edited Site	01	build-log	inspect routes, copy, links, metadata, and mobile layout
007	quiet-automation-boundaries	Where I Stop Automating a Writing Workflow	01	analysis-essay	human judgment belongs at selection and publication
008	content-calendar-from-notes	Building a Content Calendar from Six Months of Raw Notes	01	build-log	group ideas by problem, proof, and audience
009	fast-api-contract-first	The Contract-First Workflow That Keeps Generated APIs Usable	01	how-to-guide	OpenAPI before implementation and tests
010	agent-project-kickoff	The Project Kickoff Template I Give a Coding Agent	01	how-to-guide	goal, constraints, interfaces, data, review gates
011	markdown-source-of-truth	Why Markdown Remains My Source of Truth	02	analysis-essay	portable diffs beat another proprietary database
012	notebook-to-library	Moving a Teaching Notebook into a Small Python Library	02	build-log	extract functions, add tests, publish, keep notebook
013	agent-skill-checklist	The Checklist I Use Before Turning a Workflow into a Skill	02	analysis-essay	repetition, stable inputs, verifiable output
014	phone-code-review	A Phone-First Code Review Workflow That Does Not Feel Punishing	02	build-log	small diffs, CI output, screenshots, and short comments
015	faq-answer-curation	Curating FAQ Answers Without Turning It into a Full-Time Job	02	build-log	dedupe, route, answer templates, freshness review
016	test-the-agent-output	Testing the Output, Not the Prompt	02	analysis-essay	behavior contracts make agents maintainable
017	local-model-prototype	When I Prototype with a Local Model and When I Switch to an API	02	analysis-essay	privacy, latency, cost, and quality thresholds
018	course-notes-pipeline	A Pipeline for Turning Course Recordings into Searchable Notes	02	build-log	transcripts, sections, summaries, quiz questions
019	repo-onboarding-context	Writing an Onboarding Context File a New Agent Can Actually Use	02	how-to-guide	map commands, architecture, risks, and review rules
020	small-dataset-decisions	Making Product Decisions with a Small, Biased Dataset	02	analysis-essay	state the sampling frame and use directional evidence
021	portfolio-project-selection	Choosing a Portfolio Project When Everything Looks Interesting	03	how-to-guide	job descriptions reveal problems worth building
022	slack-community-intake	Building a Lightweight Intake Queue for Community Questions	03	build-log	routing, tags, stale-thread cleanup, and escalation
023	agent-budget-caps	How I Set Budget Caps for Long-Running Agent Jobs	03	build-log	token, wall-clock, retry, and diff-size limits
024	multimodal-photo-index	Indexing Workshop Photos with Descriptions and Tags	03	build-log	captions, location, project, and privacy filters
025	documentation-drift	Finding Documentation Drift Before Users Find It	03	how-to-guide	link commands to tests and scheduled audits
026	prompt-version-control	Versioning Prompts Like Small Functions	03	how-to-guide	name, input contract, examples, regression set
027	telegram-draft-reviewer	Extending a Telegram Assistant with a Draft Review Step	03	build-log	message context, revision rules, and approval
028	job-description-taxonomy	Creating a Job Description Taxonomy from Free-Text Skills	03	analysis-essay	normalize enough to count, no more
029	container-dev-parity	Keeping Local Development and Production Containers Close	03	how-to-guide	one compose contract and environment checks
030	long-running-agent-recovery	Making Long Agent Runs Recoverable	03	build-log	checkpoints, logs, artifacts, and restart instructions
031	meeting-transcript-actions	Turning Meeting Transcripts into Actions Without Losing Context	04	build-log	speaker intent, decisions, blockers, and evidence links
032	personal-knowledge-api	A Personal Knowledge API for Reused Ideas	04	build-log	notes, embeddings, citations, and simple endpoints
033	agent-review-diffs	Reviewing Large Agent Diffs in Small Batches	04	how-to-guide	sort by interface, behavior, tests, then polish
034	course-project-rubric	Designing a Rubric That Students Can Self-Apply	04	how-to-guide	functioning demo, tests, README, limitations
035	content-idea-validation	Validating Article Ideas with Search Queries and Community Questions	04	build-log	cluster demand, check competition, pick a real angle
036	local-file-monitor	Building a Local File Monitor for Writing Intake	04	build-log	normalize files, extract metadata, and move processed items
037	agent-tool-permissions	A Practical Way to Scope Tool Permissions for Agents	04	how-to-guide	read-only defaults and explicit write paths
038	small-lib-release-checklist	The Release Checklist I Use for a Small Python Library	04	how-to-guide	version, tests, build, metadata, tag, publish
039	multilingual-support-questions	Handling Multilingual Support Questions in a Course FAQ	04	build-log	detect language, retrieve once, answer consistently
040	experiment-notebook-cleanup	Cleaning Up an Experiment Notebook After a Sprint	04	build-log	separate exploration from repeatable paths
041	qa-agent-equivalence-tests	Writing Equivalence Tests for a QA Agent	05	how-to-guide	group inputs by behavior instead of guessing examples
042	observability-for-writing-bot	Adding Observability to a Writing Bot	05	build-log	request IDs, transcript latency, failure classes, dashboards
043	readme-first-development	Readme-First Development for Tiny Projects	05	how-to-guide	promise the interface before automating details
044	course-deadline-automation	Automating Course Deadline Reminders Without Becoming Noisy	05	build-log	segment users, escalation rules, and quiet hours
045	agent-context-trimming	Trimming Agent Context Without Removing the Wrong Things	05	build-log	keep contracts, decisions, failures, and recent evidence
046	portfolio-readme-review	A Review Process for Portfolio READMEs	05	build-log	first screen, reproduction, evidence, limitations
047	data-freshness-checks	Adding Freshness Checks to a Retrieval System	05	how-to-guide	source dates, expected update cadence, stale flags
048	voice-interface-friction	Where Voice Input Helps and Where It Gets in the Way	05	analysis-essay	great for capture, poor for precise review
049	judge-prompt-alignment	Aligning a Judge Prompt with Human Review	05	how-to-guide	rubric, disagreement sample, threshold, revision
050	project-retro-template	The Project Retro Template I Reuse After Every Build	05	how-to-guide	outcome, evidence, surprises, next rule
051	minimal-agent-harness	Building a Minimal Harness Around a Coding Agent	06	build-log	input queue, permissions, run log, and result contract
052	support-ticket-clustering	Clustering Support Tickets Without Pretending They Are Clean	06	build-log	normalize, sample, label, and accept mixed intents
053	course-cohort-launch	Launching a Small Course Cohort with Mostly Existing Tools	06	build-log	registration, reminders, platform, feedback loop
054	static-analysis-for-prose	Using Static Analysis to Enforce a Writing Style	06	build-log	detect mechanical habits and leave judgment to review
055	agent-run-cost-report	Creating a Cost Report for Agent-Assisted Development	06	build-log	tokens, retries, wall clock, and avoided manual work
056	multi-source-link-brief	A Brief Format for Multi-Source Research	06	how-to-guide	question, evidence, contradiction, decision
057	cli-tool-ergonomics	Making a Small CLI Tool Pleasant Enough to Keep Using	06	build-log	one command, predictable flags, helpful failure output
058	synthetic-test-data	Rules for Synthetic Test Data in Agent Evaluations	06	analysis-essay	useful for coverage, risky as proof of reality
059	personal-analytics-dashboard	A Private Dashboard for My Publishing Workflow	06	build-log	drafts, publish dates, sources, and review latency
060	retry-policies-for-webhooks	Designing Retry Policies for Webhook-Driven Automations	06	how-to-guide	idempotency, backoff, dead-letter queue, alerts
061	faq-routing-model	Wiring a Simple Router in Front of a FAQ Assistant	07	build-log	intent classes, confidence thresholds, fallback paths
062	agent-team-handoffs	Designing Handoffs in a Small Agent Team	07	how-to-guide	explicit artifacts beat chatty coordination
063	course-feedback-to-curriculum	Turning Course Feedback into Next-Cohort Changes	07	build-log	cluster comments, map to modules, pick five changes
064	private-incident-notebook	Keeping an Incident Notebook That Survives the Urgency	07	build-log	timeline, symptoms, hypotheses, actions, follow-ups
065	markdown-to-social-drafts	Generating Social Drafts from a Finished Article	07	build-log	preserve the core claim and adapt to each surface
066	llm-cache-boundaries	Caching LLM Responses Without Creating Stale Answers	07	analysis-essay	cache deterministic inputs and expose freshness
067	tool-integration-spike	Running a Tool Integration Spike Before Building the Feature	07	how-to-guide	success criteria, smallest path, stop time
068	content-archaeology	Content Archaeology: Finding Reusable Ideas in Old Notes	07	build-log	index, cluster, rank, and turn one cluster into a draft
069	github-issue-to-spec	Turning a GitHub Issue into a Testable Specification	07	how-to-guide	user outcome, boundary cases, acceptance checks
070	local-dev-credentials	Managing Local Credentials Without Spreading Dotfiles Everywhere	07	build-log	one loader, project scope, redacted logs
071	podcast-transcript-summaries	Summarizing Podcast Transcripts Without Flattening the Argument	08	build-log	segment claims, preserve counterpoints, add timestamps
072	agent-code-review-scope	Scoping What a Coding Agent May Change	08	how-to-guide	allowed paths, forbidden paths, review checklist
073	public-workshop-checklist	The Checklist I Use to Run a Public Workshop	08	how-to-guide	rehearsal, environment, fallback, follow-up artifacts
074	scraping-to-dataset	From Web Page to Usable Dataset in One Afternoon	08	build-log	scrape, normalize, sample, validate, document
075	evaluation-dashboard-alerts	Adding Alerts to an Evaluation Dashboard	08	build-log	thresholds, false-alarm budget, ownership
076	student-project-showcase	Preparing a Student Project Showcase Without Overclaiming	08	build-log	ask for evidence and publish limitations too
077	personal-search-benchmark	Benchmarking Two Local Search Options on My Own Notes	08	build-log	define queries, labels, metrics, and deployment cost
078	agent-diagram-generation	Generating Architecture Diagrams from Structured Project Data	08	build-log	components, edges, validation, render step
079	course-material-refresh	Refreshing Course Material Without Rewriting Everything	08	how-to-guide	replace stale tools, preserve assignments, update tests
080	weekly-review-automation	Automating the Boring Parts of My Weekly Review	08	build-log	collect metrics, draft highlights, leave choices manual
081	prompt-regression-pack	Creating a Regression Pack for a Prompt I Reuse Weekly	09	how-to-guide	collect cases, expected outcomes, and diff changes
082	slack-question-router	Adding a Router to a Slack Question Queue	09	build-log	classify, answer, escalate, and archive
083	agent-plan-review	Reviewing an Agent Plan Before Letting It Edit Code	09	build-log	check goal, interfaces, tests, and rollback
084	offline-course-kit	Preparing an Offline Course Kit That Works Without Network Access	09	how-to-guide	local copies, printed fallback, environment checks
085	blog-to-newsletter-repurpose	Repurposing a Blog Post into a Newsletter Issue	09	build-log	keep the claim, cut the setup, add a next step
086	vector-search-cost-control	Controlling the Cost of a Small Vector Search Service	09	build-log	embedding budget, caching, and retention rules
087	long-context-experiment	Testing Whether a Long Context Actually Helps My Workflow	09	build-log	same tasks, three context sizes, timed review
088	project-name-generator	Building a Tiny Tool for Naming Side Projects	09	build-log	word lists, collision checks, and human choice
089	agent-error-taxonomy	Classifying the Ways a Coding Agent Fails	09	analysis-essay	separate instruction, context, tool, and judgment errors
090	openapi-to-client-tests	Generating Client Tests from an OpenAPI Contract	09	how-to-guide	request examples, status rules, and failure cases
091	local-website-backup	A Simple Backup System for My Static Sites	10	build-log	versioned artifacts, restore test, and alerting
092	article-outline-review	Using an Agent as an Article Outline Reviewer	10	build-log	audience, promise, evidence, and missing objections
093	retrieval-failure-cases	Collecting Retrieval Failure Cases as a Team Habit	10	how-to-guide	log misses, label cause, and add to the test set
094	coding-agent-handoff-notes	Writing Handoff Notes for the Next Coding Agent Session	10	how-to-guide	current state, decisions, next task, known risks
095	workshop-feedback-pipeline	Turning Workshop Feedback into a Public Recap	10	build-log	survey data, anonymization, themes, and follow-up
096	community-helper-playbook	A Playbook for Community Helpers	10	how-to-guide	welcome, diagnose, answer, and escalate
097	codebase-tour-agent	Building an Agent That Gives a Guided Tour of a Repository	10	build-log	entry points, dependency graph, examples, and limits
098	prototype-to-production-gap	Closing the Prototype-to-Production Gap in Small Steps	10	analysis-essay	persistence, auth, tests, deployment, and support
099	personal-command-menu	Creating a Personal Command Menu for Repeated Work	10	build-log	discover commands, group tasks, and document defaults
100	evaluation-set-versioning	Versioning Evaluation Sets with the Code That Uses Them	10	how-to-guide	immutable cases, change notes, and score comparisons
101	database-migration-checklist	The Database Migration Checklist I Should Have Used Sooner	11	how-to-guide	backup, expand, migrate, contract, verify
102	browser-recording-to-bug-report	Turning a Browser Recording into a Reproducible Bug Report	11	build-log	steps, state, console output, and expected result
103	teaching-notes-index	Indexing Ten Years of Teaching Notes	11	build-log	extract topics, examples, exercises, and version
104	agent-memory-file	Using a Single Memory File Instead of a Complex Memory System	11	analysis-essay	append decisions and prune stale context
105	semantic-search-smoke-tests	Writing Smoke Tests for Semantic Search	11	how-to-guide	canary queries, expected neighbors, and latency budget
106	local-event-recap	Publishing a Local Event Recap While It Still Matters	11	build-log	photos, quotes, slides, and follow-up resources
107	api-failure-modes	Documenting API Failure Modes Before They Happen	11	how-to-guide	timeouts, validation, quota, and recovery
108	content-research-folder	Organizing Research for an Article Before Writing It	11	build-log	questions, sources, evidence, and contradictions
109	agent-work-log	Making Agents Produce Work Logs I Can Review Later	11	build-log	task, action, evidence, output, and decision points
110	course-starter-template	Designing a Course Starter Template Students Can Extend	11	how-to-guide	few files, clear commands, and a small test suite
111	github-actions-runtime-cuts	Cutting Runtime from a GitHub Actions Workflow	12	build-log	caching, matrix pruning, and honest measurements
112	article-diagram-workflow	Creating a Simple Architecture Diagram for an Article	12	build-log	components, boundaries, data flow, and caption
113	multimodal-slide-review	Using Vision Models to Review Slide Layouts	12	build-log	contrast, overflow, alignment, and narrative order
114	faq-answer-quality-rubric	Defining a Quality Rubric for FAQ Answers	12	how-to-guide	correct, current, complete, concise, and kind
115	agent-release-notes	Generating Release Notes Without Inventing Impact	12	build-log	diff grouping, issue links, and human editing
116	data-cleaning-decisions	Writing Down Data-Cleaning Decisions Before I Regret Them	12	build-log	normalization, exclusions, missing values, and provenance
117	personal-rss-pipeline	A Personal RSS Pipeline That Survives a Busy Week	12	build-log	fetch, filter, summarize, and decide what to read
118	local-server-service-registry	Keeping Track of Services on My Home Server	12	build-log	names, ports, owners, logs, and health checks
119	research-question-to-spec	Moving from a Research Question to a Buildable Specification	12	how-to-guide	hypothesis, data, method, success rule, and scope
120	prompt-injection-checklist	A Checklist for Reducing Prompt Injection Risk	12	how-to-guide	separate instructions, limit tools, validate output
